PART NUMBER,DESCRIPTION,Category,QTY.
209,BAR CLAMP,PRINTED PART,4
610,FRAME VERTEX WITHOUT FOOT,PRINTED PART,2
618,Y ENDSTOP HOLDER,PRINTED PART,1
616,Y BAR CLAMP,PRINTED PART,3
719,Y BEARING HOLDER (FLOATING),PRINTED PART,1
742,Y BEARING HOLDER (FIXED),PRINTED PART,1
273,Y BELT CLAMP,PRINTED PART,2
740,Y BELT TENSIONER,PRINTED PART,2
623-629,Y MOTOR BRACKET,PRINTED PART,1
619-621,Y IDLER BRACKET,PRINTED PART,1
609,Z COUPLING,PRINTED PART,4
316,X MOTOR BRACKET,PRINTED PART,1
267,X IDLER BRACKET,PRINTED PART,1
614,X CARRIAGE,PRINTED PART,1
714,FAN MOUNT,PRINTED PART,1
220,NOZZLE MOUNT,PRINTED PART,1
611,IDLER COVER,PRINTED PART,1
687,DUET BAR CLAMP,PRINTED PART,3
169,Z MOTOR BRACKET,PRINTED PART,2
281,FRAME VERTEX WITH FOOT,PRINTED PART,4
